ts,note,src,dst,level
2026-02-12T18:40:30Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,52.96.44.2,Info
2026-02-12T18:41:00Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,52.96.44.2,Notice
2026-02-12T18:41:30Z,SSL::Invalid_Server_Cert,10.24.77.41,140.82.114.5,Warning
2026-02-12T18:42:00Z,SSL::Invalid_Server_Cert,10.21.8.44,13.107.6.152,Notice
2026-02-12T18:42:30Z,SSL::Invalid_Server_Cert,10.21.8.44,52.96.44.2,Info
2026-02-12T18:43:00Z,SSL::Invalid_Server_Cert,10.24.77.41,52.96.44.2,Notice
2026-02-12T18:43:30Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,13.107.6.152,Notice
2026-02-12T18:44:00Z,SSL::Invalid_Server_Cert,10.24.77.41,13.107.6.152,Notice
2026-02-12T18:44:30Z,SSL::Invalid_Server_Cert,10.21.8.44,140.82.114.5,Notice
2026-02-12T18:45:00Z,Sensitive_HTTP_Upload,10.20.9.11,185.212.44.9,Warning
2026-02-12T18:45:30Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,140.82.114.5,Info
2026-02-12T18:46:00Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,13.107.6.152,Info
2026-02-12T18:46:30Z,SSL::Invalid_Server_Cert,10.21.8.44,13.107.6.152,Info
2026-02-12T18:47:00Z,SSL::Invalid_Server_Cert,10.21.8.44,52.96.44.2,Info
2026-02-12T18:47:30Z,SSL::Invalid_Server_Cert,10.21.8.44,52.96.44.2,Info
2026-02-12T18:48:00Z,SSL::Invalid_Server_Cert,10.21.8.44,13.107.6.152,Notice
2026-02-12T18:48:30Z,SSL::Invalid_Server_Cert,10.24.77.41,52.96.44.2,Warning
2026-02-12T18:49:00Z,SSL::Invalid_Server_Cert,10.24.77.41,52.96.44.2,Info
2026-02-12T18:49:30Z,SSL::Invalid_Server_Cert,10.20.44.22,13.107.6.152,Notice
2026-02-12T18:50:00Z,SSL::Invalid_Server_Cert,10.20.44.22,13.107.6.152,Warning
2026-02-12T18:50:30Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,140.82.114.5,Info
2026-02-12T18:51:00Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,140.82.114.5,Warning
2026-02-12T18:51:30Z,SSL::Invalid_Server_Cert,10.21.8.44,13.107.6.152,Warning
2026-02-12T18:52:00Z,SSL::Invalid_Server_Cert,10.24.77.41,13.107.6.152,Notice
2026-02-12T18:52:30Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,13.107.6.152,Info
2026-02-12T18:53:00Z,SSL::Invalid_Server_Cert,10.21.8.44,140.82.114.5,Warning
2026-02-12T18:53:30Z,SSL::Invalid_Server_Cert,10.21.8.44,140.82.114.5,Notice
2026-02-12T18:54:00Z,SSL::Invalid_Server_Cert,10.21.8.44,13.107.6.152,Notice
2026-02-12T18:54:30Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,140.82.114.5,Info
2026-02-12T18:55:00Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,52.96.44.2,Info
2026-02-12T18:55:30Z,SSL::Invalid_Server_Cert,10.24.77.41,140.82.114.5,Warning
2026-02-12T18:56:00Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,52.96.44.2,Warning
2026-02-12T18:56:30Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,52.96.44.2,Notice
2026-02-12T18:57:00Z,SSL::Invalid_Server_Cert,10.24.77.41,52.96.44.2,Notice
2026-02-12T18:57:30Z,SSL::Invalid_Server_Cert,10.20.44.22,140.82.114.5,Notice
2026-02-12T18:58:00Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,140.82.114.5,Info
2026-02-12T18:58:30Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,52.96.44.2,Warning
2026-02-12T18:59:00Z,SSL::Invalid_Server_Cert,10.21.8.44,13.107.6.152,Notice
2026-02-12T18:59:30Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,13.107.6.152,Warning
2026-02-12T19:00:00Z,SSL::Invalid_Server_Cert,10.24.77.41,52.96.44.2,Warning
2026-02-12T19:00:30Z,SSL::Invalid_Server_Cert,10.20.44.22,13.107.6.152,Info
2026-02-12T19:01:00Z,SSL::Invalid_Server_Cert,10.24.77.41,13.107.6.152,Warning
2026-02-12T19:01:30Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,52.96.44.2,Info
2026-02-12T19:02:00Z,SSL::Invalid_Server_Cert,10.20.44.22,52.96.44.2,Warning
2026-02-12T19:02:30Z,SSL::Invalid_Server_Cert,10.24.77.41,13.107.6.152,Warning
2026-02-12T19:03:00Z,SSL::Invalid_Server_Cert,10.21.8.44,52.96.44.2,Warning
2026-02-12T19:03:30Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,140.82.114.5,Info
2026-02-12T19:04:00Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,13.107.6.152,Info
2026-02-12T19:04:30Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,13.107.6.152,Info
2026-02-12T19:05:00Z,SSL::Invalid_Server_Cert,10.24.77.41,140.82.114.5,Info
2026-02-12T19:05:30Z,SSL::Invalid_Server_Cert,10.21.8.44,13.107.6.152,Info
2026-02-12T19:06:00Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,13.107.6.152,Notice
2026-02-12T19:06:30Z,SSL::Invalid_Server_Cert,10.20.44.22,13.107.6.152,Notice
2026-02-12T19:07:00Z,SSL::Invalid_Server_Cert,10.24.77.41,13.107.6.152,Info
2026-02-12T19:07:30Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,13.107.6.152,Notice
2026-02-12T19:08:00Z,SSL::Invalid_Server_Cert,10.21.8.44,52.96.44.2,Warning
2026-02-12T19:08:30Z,SSL::Invalid_Server_Cert,10.20.44.22,52.96.44.2,Notice
2026-02-12T19:09:00Z,SSL::Invalid_Server_Cert,10.21.8.44,140.82.114.5,Info
2026-02-12T19:09:30Z,SSL::Invalid_Server_Cert,10.21.8.44,13.107.6.152,Info
2026-02-12T19:10:00Z,SSL::Invalid_Server_Cert,10.20.44.22,13.107.6.152,Info
2026-02-12T19:10:30Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,140.82.114.5,Warning
2026-02-12T19:11:00Z,SSL::Invalid_Server_Cert,10.21.8.44,13.107.6.152,Notice
2026-02-12T19:11:30Z,SSL::Invalid_Server_Cert,10.21.8.44,52.96.44.2,Info
2026-02-12T19:12:00Z,SSL::Invalid_Server_Cert,10.21.8.44,13.107.6.152,Notice
2026-02-12T19:12:30Z,Scan::Port_Scan,10.22.15.9,10.20.11.22,Info
2026-02-12T19:13:00Z,SSL::Invalid_Server_Cert,10.21.8.44,13.107.6.152,Notice
2026-02-12T19:13:30Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,13.107.6.152,Notice
2026-02-12T19:14:00Z,SSL::Invalid_Server_Cert,10.21.8.44,140.82.114.5,Warning
2026-02-12T19:14:30Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,13.107.6.152,Info
2026-02-12T19:15:00Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,13.107.6.152,Notice
2026-02-12T19:15:30Z,SSL::Invalid_Server_Cert,10.24.77.41,13.107.6.152,Info
2026-02-12T19:16:00Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,140.82.114.5,Notice
2026-02-12T19:16:30Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,13.107.6.152,Warning
2026-02-12T19:17:00Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,140.82.114.5,Info
2026-02-12T19:17:30Z,SSL::Invalid_Server_Cert,10.21.8.44,140.82.114.5,Info
2026-02-12T19:18:00Z,SSL::Invalid_Server_Cert,10.20.44.22,13.107.6.152,Info
2026-02-12T19:18:30Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,13.107.6.152,Notice
2026-02-12T19:19:00Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,140.82.114.5,Notice
2026-02-12T19:19:30Z,SSL::Invalid_Server_Cert,10.21.8.44,13.107.6.152,Warning
2026-02-12T19:20:00Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,140.82.114.5,Warning
2026-02-12T19:20:30Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,13.107.6.152,Info
2026-02-12T19:21:00Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,13.107.6.152,Warning
2026-02-12T19:21:30Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,140.82.114.5,Notice
2026-02-12T19:22:00Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,52.96.44.2,Info
2026-02-12T19:22:30Z,SSL::Invalid_Server_Cert,10.21.8.44,52.96.44.2,Info
2026-02-12T19:23:00Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,52.96.44.2,Notice
2026-02-12T19:23:30Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,140.82.114.5,Notice
2026-02-12T19:24:00Z,SSL::Invalid_Server_Cert,10.24.77.41,140.82.114.5,Warning
2026-02-12T19:24:30Z,SSL::Invalid_Server_Cert,10.24.77.41,140.82.114.5,Warning
2026-02-12T19:25:00Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,13.107.6.152,Warning
2026-02-12T19:25:30Z,SSL::Invalid_Server_Cert,10.20.44.22,52.96.44.2,Info
2026-02-12T19:26:00Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,13.107.6.152,Info
2026-02-12T19:26:30Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,52.96.44.2,Warning
2026-02-12T19:27:00Z,SSL::Invalid_Server_Cert,10.21.8.44,140.82.114.5,Notice
2026-02-12T19:27:30Z,SSL::Invalid_Server_Cert,10.21.8.44,13.107.6.152,Notice
2026-02-12T19:28:00Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,13.107.6.152,Info
2026-02-12T19:28:30Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,13.107.6.152,Notice
2026-02-12T19:29:00Z,SSL::Invalid_Server_Cert,10.20.44.22,52.96.44.2,Info
2026-02-12T19:29:30Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,13.107.6.152,Notice
2026-02-12T19:30:00Z,SSL::Invalid_Server_Cert,10.21.8.44,52.96.44.2,Warning
2026-02-12T19:30:30Z,SSL::Invalid_Server_Cert,10.21.8.44,52.96.44.2,Notice
2026-02-12T19:31:00Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,13.107.6.152,Notice
2026-02-12T19:31:30Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,13.107.6.152,Info
2026-02-12T19:32:00Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,13.107.6.152,Info
2026-02-12T19:32:30Z,SSL::Invalid_Server_Cert,10.24.77.41,52.96.44.2,Notice
2026-02-12T19:33:00Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,13.107.6.152,Notice
2026-02-12T19:33:30Z,SSL::Invalid_Server_Cert,10.21.8.44,13.107.6.152,Warning
2026-02-12T19:34:00Z,SSL::Invalid_Server_Cert,10.20.44.22,140.82.114.5,Warning
2026-02-12T19:34:30Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,52.96.44.2,Notice
2026-02-12T19:35:00Z,SSL::Invalid_Server_Cert,10.24.77.41,13.107.6.152,Info
2026-02-12T19:35:30Z,SSL::Invalid_Server_Cert,10.21.8.44,140.82.114.5,Info
2026-02-12T19:36:00Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,140.82.114.5,Warning
2026-02-12T19:36:30Z,SSL::Invalid_Server_Cert,10.21.8.44,52.96.44.2,Info
2026-02-12T19:37:00Z,SSL::Invalid_Server_Cert,10.24.77.41,52.96.44.2,Warning
2026-02-12T19:37:30Z,SSL::Invalid_Server_Cert,10.20.44.22,13.107.6.152,Warning
2026-02-12T19:38:00Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,52.96.44.2,Notice
2026-02-12T19:38:30Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,140.82.114.5,Notice
2026-02-12T19:39:00Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,140.82.114.5,Notice
2026-02-12T19:39:30Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,13.107.6.152,Warning
