ts,src_ip,query,qtype,answer
2026-02-12T17:07:51Z,10.24.77.19,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:08:12Z,10.24.77.19,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:08:33Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:08:54Z,10.24.77.19,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:09:15Z,10.24.77.19,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:09:36Z,10.24.77.41,time.windows.com,A,13.86.101.172
2026-02-12T17:09:57Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T17:10:18Z,10.20.44.22,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:10:39Z,10.20.44.22,api.github.com,A,140.82.114.5
2026-02-12T17:11:00Z,10.24.77.41,time.windows.com,A,13.86.101.172
2026-02-12T17:11:21Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T17:11:42Z,10.20.44.22,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:12:03Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T17:12:24Z,10.21.8.44,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:12:45Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T17:13:06Z,10.21.8.44,time.windows.com,A,13.86.101.172
2026-02-12T17:13:27Z,10.24.77.19,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:13:48Z,10.24.77.41,time.windows.com,A,13.86.101.172
2026-02-12T17:14:09Z,10.24.77.19,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:14:30Z,10.20.44.22,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:14:51Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:15:12Z,10.20.44.22,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:15:33Z,10.20.44.22,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:15:54Z,10.20.44.22,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:16:15Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:16:36Z,10.24.77.19,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:16:57Z,10.24.77.41,api.github.com,A,140.82.114.5
2026-02-12T17:17:18Z,10.24.77.41,api.github.com,A,140.82.114.5
2026-02-12T17:17:39Z,10.24.77.41,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:18:00Z,10.20.44.22,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:18:21Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:18:42Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T17:19:03Z,10.20.44.22,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:19:24Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T17:19:45Z,10.24.77.41,time.windows.com,A,13.86.101.172
2026-02-12T17:20:06Z,10.24.77.41,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:20:27Z,10.24.77.19,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:20:48Z,10.24.77.41,api.github.com,A,140.82.114.5
2026-02-12T17:21:09Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:21:30Z,10.24.77.19,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:21:51Z,10.24.77.41,time.windows.com,A,13.86.101.172
2026-02-12T17:22:12Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T17:22:33Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T17:22:54Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T17:23:15Z,10.24.77.19,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:23:36Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T17:23:57Z,10.21.8.44,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:24:18Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:24:39Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:25:00Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T17:25:21Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:25:42Z,10.20.44.22,time.windows.com,A,13.86.101.172
2026-02-12T17:26:03Z,10.20.44.22,time.windows.com,A,13.86.101.172
2026-02-12T17:26:24Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T17:26:45Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:27:06Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T17:27:27Z,10.24.77.19,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:27:48Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:28:09Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:28:30Z,10.24.77.41,time.windows.com,A,13.86.101.172
2026-02-12T17:28:51Z,10.24.77.19,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:29:12Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:29:33Z,10.20.44.22,api.github.com,A,140.82.114.5
2026-02-12T17:29:54Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T17:30:15Z,10.20.44.22,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:30:36Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T17:30:57Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T17:31:18Z,10.20.44.22,time.windows.com,A,13.86.101.172
2026-02-12T17:31:39Z,10.20.44.22,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:32:00Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T17:32:21Z,10.24.77.41,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:32:42Z,10.20.44.22,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:33:03Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:33:24Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T17:33:45Z,10.24.77.41,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:34:06Z,10.20.44.22,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:34:27Z,10.20.44.22,api.github.com,A,140.82.114.5
2026-02-12T17:34:48Z,10.24.77.41,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:35:09Z,10.24.77.41,api.github.com,A,140.82.114.5
2026-02-12T17:35:30Z,10.24.77.19,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:35:51Z,10.21.8.44,time.windows.com,A,13.86.101.172
2026-02-12T17:36:12Z,10.24.77.41,api.github.com,A,140.82.114.5
2026-02-12T17:36:33Z,10.20.44.22,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:36:54Z,10.24.77.19,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:37:15Z,10.24.77.19,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:37:36Z,10.21.8.44,time.windows.com,A,13.86.101.172
2026-02-12T17:37:57Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:38:18Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T17:38:39Z,10.21.8.44,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:39:00Z,10.20.44.22,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:39:21Z,10.21.8.44,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:39:42Z,10.20.44.22,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:40:03Z,10.21.8.44,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:40:24Z,10.24.77.41,time.windows.com,A,13.86.101.172
2026-02-12T17:40:45Z,10.21.8.44,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:41:06Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T17:41:27Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T17:41:48Z,10.24.77.41,api.github.com,A,140.82.114.5
2026-02-12T17:42:09Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T17:42:30Z,10.24.77.41,time.windows.com,A,13.86.101.172
2026-02-12T17:42:51Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T17:43:12Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T17:43:33Z,10.20.44.22,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:43:54Z,10.20.44.22,api.github.com,A,140.82.114.5
2026-02-12T17:44:15Z,10.24.77.19,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:44:36Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T17:44:57Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T17:45:18Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T17:45:39Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:46:00Z,10.24.77.41,time.windows.com,A,13.86.101.172
2026-02-12T17:46:21Z,10.20.44.22,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:46:42Z,10.20.44.22,us-archive-files.s3-gw-storage.net,A,185.212.44.9
2026-02-12T17:47:03Z,10.21.8.44,time.windows.com,A,13.86.101.172
2026-02-12T17:47:24Z,10.20.44.22,api.github.com,A,140.82.114.5
2026-02-12T17:47:45Z,10.20.44.22,time.windows.com,A,13.86.101.172
2026-02-12T17:48:06Z,10.21.8.44,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:48:27Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T17:48:48Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T17:49:09Z,10.24.77.19,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:49:30Z,10.20.44.22,time.windows.com,A,13.86.101.172
2026-02-12T17:49:51Z,10.24.77.41,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:50:12Z,10.21.8.44,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:50:33Z,10.24.77.41,api.github.com,A,140.82.114.5
2026-02-12T17:50:54Z,10.24.77.41,api.github.com,A,140.82.114.5
2026-02-12T17:51:15Z,10.21.8.44,time.windows.com,A,13.86.101.172
2026-02-12T17:51:36Z,10.21.8.44,time.windows.com,A,13.86.101.172
2026-02-12T17:51:57Z,10.24.77.19,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:52:18Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T17:52:39Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:53:00Z,10.21.8.44,time.windows.com,A,13.86.101.172
2026-02-12T17:53:21Z,10.20.44.22,api.github.com,A,140.82.114.5
2026-02-12T17:53:42Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:54:03Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T17:54:24Z,10.20.44.22,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:54:45Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T17:55:06Z,10.24.77.19,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:55:27Z,10.20.44.22,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:55:48Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T17:56:09Z,10.24.77.41,api.github.com,A,140.82.114.5
2026-02-12T17:56:30Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:56:51Z,10.24.77.19,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:57:12Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T17:57:33Z,10.24.77.41,api.github.com,A,140.82.114.5
2026-02-12T17:57:54Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:58:15Z,10.21.8.44,time.windows.com,A,13.86.101.172
2026-02-12T17:58:36Z,10.20.44.22,time.windows.com,A,13.86.101.172
2026-02-12T17:58:57Z,10.20.44.22,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:59:18Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T17:59:39Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T18:00:00Z,10.24.77.19,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:00:21Z,10.24.77.41,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:00:42Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:01:03Z,10.20.44.22,time.windows.com,A,13.86.101.172
2026-02-12T18:01:24Z,10.24.77.41,api.github.com,A,140.82.114.5
2026-02-12T18:01:45Z,10.21.8.44,time.windows.com,A,13.86.101.172
2026-02-12T18:02:06Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T18:02:27Z,10.20.44.22,api.github.com,A,140.82.114.5
2026-02-12T18:02:48Z,10.24.77.41,time.windows.com,A,13.86.101.172
2026-02-12T18:03:09Z,10.24.77.19,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:03:30Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T18:03:51Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T18:04:12Z,10.24.77.41,time.windows.com,A,13.86.101.172
2026-02-12T18:04:33Z,10.20.44.22,time.windows.com,A,13.86.101.172
2026-02-12T18:04:54Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T18:05:15Z,10.24.77.41,api.github.com,A,140.82.114.5
2026-02-12T18:05:36Z,10.21.8.44,time.windows.com,A,13.86.101.172
2026-02-12T18:05:57Z,10.21.8.44,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:06:18Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:06:39Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T18:07:00Z,10.20.44.22,api.github.com,A,140.82.114.5
2026-02-12T18:07:21Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T18:07:42Z,10.24.77.19,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:08:03Z,10.24.77.41,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:08:24Z,10.20.44.22,time.windows.com,A,13.86.101.172
2026-02-12T18:08:45Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T18:09:06Z,10.24.77.41,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:09:27Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T18:09:48Z,10.24.77.41,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:10:09Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T18:10:30Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T18:10:51Z,10.24.77.41,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:11:12Z,10.24.77.41,time.windows.com,A,13.86.101.172
2026-02-12T18:11:33Z,10.20.44.22,api.github.com,A,140.82.114.5
2026-02-12T18:11:54Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T18:12:15Z,10.24.77.19,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:12:36Z,10.24.77.19,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:12:57Z,10.24.77.19,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:13:18Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:13:39Z,10.21.8.44,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:14:00Z,10.24.77.41,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:14:21Z,10.24.77.41,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:14:42Z,10.24.77.19,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:15:03Z,10.20.44.22,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:15:24Z,10.20.44.22,time.windows.com,A,13.86.101.172
2026-02-12T18:15:45Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:16:06Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T18:16:27Z,10.24.77.41,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:16:48Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:17:09Z,10.21.8.44,time.windows.com,A,13.86.101.172
2026-02-12T18:17:30Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:17:51Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:18:12Z,10.24.77.41,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:18:33Z,10.24.77.19,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:18:54Z,10.24.77.41,api.github.com,A,140.82.114.5
2026-02-12T18:19:15Z,10.20.44.22,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:19:36Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:19:57Z,10.21.8.44,time.windows.com,A,13.86.101.172
2026-02-12T18:20:18Z,10.24.77.41,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:20:39Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T18:21:00Z,10.20.44.22,api.github.com,A,140.82.114.5
2026-02-12T18:21:21Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T18:21:42Z,10.21.8.44,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:22:03Z,10.24.77.19,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:22:24Z,10.21.8.44,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:22:45Z,10.20.44.22,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:23:06Z,10.20.44.22,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:23:27Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T18:23:48Z,10.20.44.22,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:24:09Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T18:24:30Z,10.20.44.22,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:24:51Z,10.24.77.41,api.github.com,A,140.82.114.5
2026-02-12T18:25:12Z,10.20.44.22,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:25:33Z,10.21.8.44,time.windows.com,A,13.86.101.172
2026-02-12T18:25:54Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T18:26:15Z,10.20.44.22,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:26:36Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T18:26:57Z,10.20.44.22,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:27:18Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:27:39Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:28:00Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T18:28:21Z,10.24.77.41,time.windows.com,A,13.86.101.172
2026-02-12T18:28:42Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T18:29:03Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T18:29:24Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:29:45Z,10.20.44.22,time.windows.com,A,13.86.101.172
2026-02-12T18:30:06Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:30:27Z,10.24.77.41,time.windows.com,A,13.86.101.172
2026-02-12T18:30:48Z,10.21.8.44,time.windows.com,A,13.86.101.172
2026-02-12T18:31:09Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T18:31:30Z,10.20.44.22,time.windows.com,A,13.86.101.172
2026-02-12T18:31:51Z,10.24.77.41,api.github.com,A,140.82.114.5
2026-02-12T18:32:12Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T18:32:33Z,10.20.44.22,telemetry.redlab.local,A,10.21.8.9
2026-02-12T18:32:54Z,10.20.44.22,time.windows.com,A,13.86.101.172
2026-02-12T18:33:15Z,10.24.77.41,time.windows.com,A,13.86.101.172
2026-02-12T18:33:36Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T18:33:57Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T18:34:18Z,10.20.44.22,api.github.com,A,140.82.114.5
2026-02-12T18:34:39Z,10.24.77.19,telemetry.redlab.local,A,10.21.8.9
