time,src_ip,dst_ip,src_port,dst_port,proto,bytes,packets,action
2026-02-12T17:09:55Z,10.20.11.22,140.82.114.5,47741,80,TCP,8399,14,ALLOW
2026-02-12T17:10:12Z,10.24.77.88,23.54.12.2,40427,53,TCP,3602,7,ALLOW
2026-02-12T17:10:29Z,10.24.77.41,10.20.0.53,49700,80,TCP,8711,7,ALLOW
2026-02-12T17:10:46Z,10.21.8.44,140.82.114.5,44345,443,TCP,6468,7,ALLOW
2026-02-12T17:11:03Z,10.20.44.22,13.107.6.152,51705,443,TCP,7960,14,ALLOW
2026-02-12T17:11:20Z,10.24.77.41,52.96.44.2,56108,22,TCP,8290,17,ALLOW
2026-02-12T17:11:37Z,10.24.77.88,13.107.6.152,56890,443,TCP,5360,9,ALLOW
2026-02-12T17:11:54Z,10.20.44.22,13.107.6.152,51838,22,TCP,3955,25,ALLOW
2026-02-12T17:12:11Z,10.24.77.41,10.20.0.53,53326,80,TCP,5554,31,ALLOW
2026-02-12T17:12:28Z,10.21.8.44,140.82.114.5,60018,22,TCP,4636,28,ALLOW
2026-02-12T17:12:45Z,10.21.8.44,52.96.44.2,42146,22,TCP,6674,37,ALLOW
2026-02-12T17:13:02Z,10.21.8.44,13.107.6.152,51323,22,TCP,496,11,ALLOW
2026-02-12T17:13:19Z,10.21.8.44,13.107.6.152,50739,53,TCP,5936,18,ALLOW
2026-02-12T17:13:36Z,10.24.77.88,10.20.0.53,62282,123,TCP,1615,34,ALLOW
2026-02-12T17:13:53Z,10.24.77.41,13.107.6.152,49540,80,TCP,3699,28,ALLOW
2026-02-12T17:14:10Z,10.21.8.44,140.82.114.5,51537,53,TCP,2914,10,ALLOW
2026-02-12T17:14:27Z,10.21.8.44,10.20.0.53,47976,53,TCP,889,19,ALLOW
2026-02-12T17:14:44Z,10.20.11.22,140.82.114.5,41141,53,TCP,3679,18,ALLOW
2026-02-12T17:15:01Z,10.24.77.88,52.96.44.2,46079,53,TCP,420,19,ALLOW
2026-02-12T17:15:18Z,10.24.77.88,52.96.44.2,52160,443,TCP,5297,3,ALLOW
2026-02-12T17:15:35Z,10.20.11.22,10.20.0.53,62981,53,TCP,3944,16,ALLOW
2026-02-12T17:15:52Z,10.21.8.44,52.96.44.2,49360,123,TCP,576,29,ALLOW
2026-02-12T17:16:09Z,10.21.8.44,23.54.12.2,52631,123,TCP,3860,29,ALLOW
2026-02-12T17:16:26Z,10.24.77.41,140.82.114.5,54340,443,TCP,2313,23,ALLOW
2026-02-12T17:16:43Z,10.21.8.44,52.96.44.2,44847,80,TCP,767,26,ALLOW
2026-02-12T17:17:00Z,10.24.77.41,23.54.12.2,58100,443,TCP,6468,22,ALLOW
2026-02-12T17:17:17Z,10.21.8.44,23.54.12.2,46370,22,TCP,6995,16,ALLOW
2026-02-12T17:17:34Z,10.21.8.44,10.20.0.53,54491,443,TCP,7002,27,ALLOW
2026-02-12T17:17:51Z,10.24.77.41,13.107.6.152,44117,53,TCP,5044,18,ALLOW
2026-02-12T17:18:08Z,10.24.77.88,140.82.114.5,64739,443,TCP,505,6,ALLOW
2026-02-12T17:18:25Z,10.24.77.41,140.82.114.5,56896,22,TCP,224,37,ALLOW
2026-02-12T17:18:42Z,10.20.11.22,10.20.0.53,56769,53,TCP,8241,12,ALLOW
2026-02-12T17:18:59Z,10.20.11.22,140.82.114.5,56567,80,TCP,6308,28,ALLOW
2026-02-12T17:19:16Z,10.24.77.88,23.54.12.2,48148,22,TCP,4200,38,ALLOW
2026-02-12T17:19:33Z,10.20.44.22,10.20.0.53,63164,123,TCP,7732,36,ALLOW
2026-02-12T17:19:50Z,10.20.11.22,13.107.6.152,54847,22,TCP,3295,30,ALLOW
2026-02-12T17:20:07Z,10.24.77.41,10.20.0.53,64947,22,TCP,3621,12,ALLOW
2026-02-12T17:20:24Z,10.24.77.41,13.107.6.152,43445,22,TCP,5348,26,ALLOW
2026-02-12T17:20:41Z,10.20.11.22,52.96.44.2,45523,123,TCP,349,3,ALLOW
2026-02-12T17:20:58Z,10.20.44.22,140.82.114.5,40500,22,TCP,8130,13,ALLOW
2026-02-12T17:21:15Z,10.20.11.22,52.96.44.2,60039,123,TCP,3577,37,ALLOW
2026-02-12T17:21:32Z,10.21.8.44,23.54.12.2,48241,53,TCP,6731,17,ALLOW
2026-02-12T17:21:49Z,10.24.77.88,140.82.114.5,43255,53,TCP,8106,25,ALLOW
2026-02-12T17:22:06Z,10.24.77.88,140.82.114.5,58612,22,TCP,6482,10,ALLOW
2026-02-12T17:22:23Z,10.20.44.22,23.54.12.2,56338,22,TCP,6523,23,ALLOW
2026-02-12T17:22:40Z,10.20.44.22,13.107.6.152,56313,80,TCP,8465,4,ALLOW
2026-02-12T17:22:57Z,10.20.44.22,13.107.6.152,49295,80,TCP,8586,26,ALLOW
2026-02-12T17:23:14Z,10.20.44.22,23.54.12.2,50630,53,TCP,2807,17,ALLOW
2026-02-12T17:23:31Z,10.20.44.22,140.82.114.5,49596,80,TCP,1583,34,ALLOW
2026-02-12T17:23:48Z,10.21.8.44,140.82.114.5,56232,80,TCP,5968,24,ALLOW
2026-02-12T17:24:05Z,10.20.11.22,23.54.12.2,40978,123,TCP,3730,25,ALLOW
2026-02-12T17:24:22Z,10.20.44.22,13.107.6.152,58336,123,TCP,6566,32,ALLOW
2026-02-12T17:24:39Z,10.20.44.22,23.54.12.2,40285,22,TCP,3203,16,ALLOW
2026-02-12T17:24:56Z,10.24.77.88,10.20.0.53,56276,80,TCP,1448,24,ALLOW
2026-02-12T17:25:13Z,10.20.44.22,13.107.6.152,46613,53,TCP,388,31,ALLOW
2026-02-12T17:25:30Z,10.20.44.22,52.96.44.2,61352,80,TCP,8049,39,ALLOW
2026-02-12T17:25:47Z,10.24.77.41,52.96.44.2,61240,123,TCP,8152,10,ALLOW
2026-02-12T17:26:04Z,10.21.8.44,23.54.12.2,54325,123,TCP,6333,26,ALLOW
2026-02-12T17:26:21Z,10.24.77.88,52.96.44.2,57678,80,TCP,5635,19,ALLOW
2026-02-12T17:26:38Z,10.24.77.41,140.82.114.5,60369,443,TCP,2827,3,ALLOW
2026-02-12T17:26:55Z,10.20.11.22,10.20.0.53,47428,123,TCP,1204,15,ALLOW
2026-02-12T17:27:12Z,10.20.11.22,140.82.114.5,57548,443,TCP,2541,23,ALLOW
2026-02-12T17:27:29Z,10.21.8.44,10.20.0.53,58794,123,TCP,6769,36,ALLOW
2026-02-12T17:27:46Z,10.20.44.22,13.107.6.152,48914,22,TCP,1199,28,ALLOW
2026-02-12T17:28:03Z,10.24.77.88,23.54.12.2,54569,443,TCP,3504,12,ALLOW
2026-02-12T17:28:20Z,10.20.44.22,13.107.6.152,53127,22,TCP,7847,13,ALLOW
2026-02-12T17:28:37Z,10.20.11.22,52.96.44.2,59973,22,TCP,4524,4,ALLOW
2026-02-12T17:28:54Z,10.20.44.22,140.82.114.5,53688,53,TCP,8935,10,ALLOW
2026-02-12T17:29:11Z,10.20.44.22,140.82.114.5,47582,53,TCP,8546,32,ALLOW
2026-02-12T17:29:28Z,10.21.8.44,23.54.12.2,52444,443,TCP,7282,20,ALLOW
2026-02-12T17:29:45Z,10.20.11.22,140.82.114.5,47176,123,TCP,2733,17,ALLOW
2026-02-12T17:30:02Z,10.21.8.44,140.82.114.5,51029,443,TCP,2400,9,ALLOW
2026-02-12T17:30:19Z,10.24.77.41,10.20.0.53,54227,80,TCP,6018,34,ALLOW
2026-02-12T17:30:36Z,10.24.77.88,140.82.114.5,47387,123,TCP,654,26,ALLOW
2026-02-12T17:30:53Z,10.20.11.22,52.96.44.2,62641,22,TCP,2514,39,ALLOW
2026-02-12T17:31:10Z,10.24.77.88,140.82.114.5,56559,53,TCP,8885,4,ALLOW
2026-02-12T17:31:27Z,10.20.11.22,52.96.44.2,40115,22,TCP,8929,19,ALLOW
2026-02-12T17:31:44Z,10.24.77.88,23.54.12.2,55766,22,TCP,4057,39,ALLOW
2026-02-12T17:32:01Z,10.24.77.41,140.82.114.5,48450,22,TCP,4543,4,ALLOW
2026-02-12T17:32:18Z,10.24.77.41,52.96.44.2,50056,80,TCP,1114,31,ALLOW
2026-02-12T17:32:35Z,10.21.8.44,52.96.44.2,51169,53,TCP,1665,20,ALLOW
2026-02-12T17:32:52Z,10.24.77.88,140.82.114.5,55329,443,TCP,7947,3,ALLOW
2026-02-12T17:33:09Z,10.20.44.22,23.54.12.2,64828,123,TCP,944,14,ALLOW
2026-02-12T17:33:26Z,10.20.11.22,140.82.114.5,62736,123,TCP,3305,27,ALLOW
2026-02-12T17:33:43Z,10.20.44.22,10.20.0.53,48965,443,TCP,8037,29,ALLOW
2026-02-12T17:34:00Z,10.24.77.88,13.107.6.152,48221,22,TCP,3420,8,ALLOW
2026-02-12T17:34:17Z,10.24.77.41,23.54.12.2,59909,123,TCP,4490,23,ALLOW
2026-02-12T17:34:34Z,10.24.77.88,23.54.12.2,62353,22,TCP,5491,18,ALLOW
2026-02-12T17:34:51Z,10.20.44.22,13.107.6.152,56281,22,TCP,3605,18,ALLOW
2026-02-12T17:35:08Z,10.24.77.88,52.96.44.2,57455,53,TCP,4255,16,ALLOW
2026-02-12T17:35:25Z,10.21.8.44,140.82.114.5,41212,80,TCP,2436,35,ALLOW
2026-02-12T17:35:42Z,10.20.11.22,10.20.0.53,51913,53,TCP,8724,30,ALLOW
2026-02-12T17:35:59Z,10.24.77.41,10.20.0.53,55729,123,TCP,2773,16,ALLOW
2026-02-12T17:36:16Z,10.21.8.44,10.20.0.53,51514,53,TCP,8932,18,ALLOW
2026-02-12T17:36:33Z,10.24.77.41,52.96.44.2,52304,443,TCP,4557,36,ALLOW
2026-02-12T17:36:50Z,10.24.77.88,23.54.12.2,53181,443,TCP,5761,15,ALLOW
2026-02-12T17:37:07Z,10.20.44.22,10.20.0.53,52863,80,TCP,6280,7,ALLOW
2026-02-12T17:37:24Z,10.20.11.22,10.20.0.53,57242,80,TCP,7904,14,ALLOW
2026-02-12T17:37:41Z,10.24.77.41,13.107.6.152,50197,123,TCP,3128,7,ALLOW
2026-02-12T17:37:58Z,10.20.44.22,10.20.0.53,60441,443,TCP,1217,28,ALLOW
2026-02-12T17:38:15Z,10.24.77.41,52.96.44.2,40369,80,TCP,6969,38,ALLOW
2026-02-12T17:38:32Z,10.20.44.22,10.20.0.53,62869,80,TCP,3684,26,ALLOW
2026-02-12T17:38:49Z,10.20.44.22,10.20.0.53,55275,123,TCP,818,6,ALLOW
2026-02-12T17:39:06Z,10.24.77.88,23.54.12.2,49532,53,TCP,6003,9,ALLOW
2026-02-12T17:39:23Z,10.20.44.22,140.82.114.5,56852,80,TCP,1415,18,ALLOW
2026-02-12T17:39:40Z,10.24.77.19,185.193.88.17,54791,443,TCP,14354102,9701,ALLOW
2026-02-12T17:39:57Z,10.24.77.88,23.54.12.2,59080,123,TCP,5088,3,ALLOW
2026-02-12T17:40:14Z,10.20.44.22,13.107.6.152,46004,80,TCP,6105,32,ALLOW
2026-02-12T17:40:31Z,10.24.77.88,13.107.6.152,63377,443,TCP,6051,40,ALLOW
2026-02-12T17:40:48Z,10.21.8.44,52.96.44.2,44031,22,TCP,7430,33,ALLOW
2026-02-12T17:41:05Z,10.21.8.44,140.82.114.5,55434,53,TCP,6772,28,ALLOW
2026-02-12T17:41:22Z,10.24.77.88,10.20.0.53,61016,443,TCP,7119,20,ALLOW
2026-02-12T17:41:39Z,10.24.77.41,23.54.12.2,48575,53,TCP,3154,13,ALLOW
2026-02-12T17:41:56Z,10.24.77.41,13.107.6.152,54294,123,TCP,5112,12,ALLOW
2026-02-12T17:42:13Z,10.24.77.41,10.20.0.53,61434,443,TCP,1234,29,ALLOW
2026-02-12T17:42:30Z,10.24.77.41,23.54.12.2,62195,80,TCP,2842,31,ALLOW
2026-02-12T17:42:47Z,10.24.77.88,13.107.6.152,61003,53,TCP,3768,11,ALLOW
2026-02-12T17:43:04Z,10.24.77.88,13.107.6.152,61742,123,TCP,8502,28,ALLOW
2026-02-12T17:43:21Z,10.24.77.41,140.82.114.5,45617,53,TCP,217,39,ALLOW
2026-02-12T17:43:38Z,10.20.44.22,23.54.12.2,58021,443,TCP,4990,9,ALLOW
2026-02-12T17:43:55Z,10.24.77.88,52.96.44.2,56977,22,TCP,7164,36,ALLOW
2026-02-12T17:44:12Z,10.24.77.41,52.96.44.2,58189,443,TCP,1684,12,ALLOW
2026-02-12T17:44:29Z,10.24.77.41,140.82.114.5,56633,22,TCP,6592,8,ALLOW
2026-02-12T17:44:46Z,10.24.77.88,52.96.44.2,47637,443,TCP,8565,38,ALLOW
2026-02-12T17:45:03Z,10.20.11.22,140.82.114.5,44093,53,TCP,735,22,ALLOW
2026-02-12T17:45:20Z,10.21.8.44,13.107.6.152,59069,80,TCP,4892,11,ALLOW
2026-02-12T17:45:37Z,10.20.11.22,13.107.6.152,53747,123,TCP,8249,37,ALLOW
2026-02-12T17:45:54Z,10.24.77.88,23.54.12.2,49146,123,TCP,3925,34,ALLOW
2026-02-12T17:46:11Z,10.21.8.44,10.20.0.53,45640,80,TCP,4532,10,ALLOW
2026-02-12T17:46:28Z,10.24.77.88,10.20.0.53,48847,22,TCP,3383,14,ALLOW
2026-02-12T17:46:45Z,10.20.11.22,10.20.0.53,43774,53,TCP,5419,36,ALLOW
2026-02-12T17:47:02Z,10.20.11.22,52.96.44.2,58040,53,TCP,1046,28,ALLOW
2026-02-12T17:47:19Z,10.24.77.88,140.82.114.5,46951,123,TCP,8955,38,ALLOW
2026-02-12T17:47:36Z,10.24.77.88,23.54.12.2,56320,443,TCP,1473,18,ALLOW
2026-02-12T17:47:53Z,10.21.8.44,140.82.114.5,60459,80,TCP,2703,6,ALLOW
2026-02-12T17:48:10Z,10.20.44.22,13.107.6.152,48925,80,TCP,8303,30,ALLOW
2026-02-12T17:48:27Z,10.24.77.88,23.54.12.2,55574,53,TCP,5771,11,ALLOW
2026-02-12T17:48:44Z,10.20.44.22,140.82.114.5,64787,22,TCP,1628,20,ALLOW
2026-02-12T17:49:01Z,10.20.11.22,52.96.44.2,54659,53,TCP,519,11,ALLOW
2026-02-12T17:49:18Z,10.24.77.88,10.20.0.53,49474,80,TCP,7752,38,ALLOW
2026-02-12T17:49:35Z,10.21.8.44,52.96.44.2,58180,123,TCP,7417,4,ALLOW
2026-02-12T17:49:52Z,10.24.77.41,52.96.44.2,45252,53,TCP,4238,20,ALLOW
2026-02-12T17:50:09Z,10.24.77.41,23.54.12.2,46239,123,TCP,2553,18,ALLOW
2026-02-12T17:50:26Z,10.24.77.88,13.107.6.152,55039,53,TCP,1320,39,ALLOW
2026-02-12T17:50:43Z,10.20.44.22,140.82.114.5,40587,123,TCP,2320,10,ALLOW
2026-02-12T17:51:00Z,10.21.8.44,10.20.0.53,54132,80,TCP,4159,7,ALLOW
2026-02-12T17:51:17Z,10.20.44.22,52.96.44.2,48684,123,TCP,6771,39,ALLOW
2026-02-12T17:51:34Z,10.20.11.22,10.20.0.53,62445,53,TCP,8440,17,ALLOW
2026-02-12T17:51:51Z,10.20.11.22,23.54.12.2,41037,443,TCP,8671,6,ALLOW
2026-02-12T17:52:08Z,10.24.77.41,140.82.114.5,48509,22,TCP,8492,40,ALLOW
2026-02-12T17:52:25Z,10.20.11.22,23.54.12.2,44247,22,TCP,8888,9,ALLOW
2026-02-12T17:52:42Z,10.24.77.88,140.82.114.5,58972,22,TCP,6756,19,ALLOW
2026-02-12T17:52:59Z,10.21.8.44,10.20.0.53,47377,53,TCP,6992,26,ALLOW
2026-02-12T17:53:16Z,10.20.11.22,13.107.6.152,64813,443,TCP,2369,18,ALLOW
2026-02-12T17:53:33Z,10.20.44.22,10.20.0.53,46133,123,TCP,1817,11,ALLOW
2026-02-12T17:53:50Z,10.20.11.22,13.107.6.152,48390,123,TCP,3412,39,ALLOW
2026-02-12T17:54:07Z,10.20.44.22,140.82.114.5,55966,443,TCP,2594,13,ALLOW
2026-02-12T17:54:24Z,10.24.77.88,13.107.6.152,54417,443,TCP,2793,9,ALLOW
2026-02-12T17:54:41Z,10.20.44.22,13.107.6.152,48998,53,TCP,8668,21,ALLOW
2026-02-12T17:54:58Z,10.20.44.22,52.96.44.2,59055,53,TCP,2045,7,ALLOW
2026-02-12T17:55:15Z,10.24.77.88,23.54.12.2,56430,443,TCP,6009,23,ALLOW
2026-02-12T17:55:32Z,10.20.44.22,10.20.0.53,58896,443,TCP,1484,21,ALLOW
2026-02-12T17:55:49Z,10.24.77.88,13.107.6.152,62047,53,TCP,3588,14,ALLOW
2026-02-12T17:56:06Z,10.24.77.88,140.82.114.5,59796,53,TCP,638,13,ALLOW
2026-02-12T17:56:23Z,10.24.77.88,140.82.114.5,41609,443,TCP,4767,28,ALLOW
2026-02-12T17:56:40Z,10.20.44.22,13.107.6.152,42231,53,TCP,6496,23,ALLOW
2026-02-12T17:56:57Z,10.20.11.22,10.20.0.53,59239,80,TCP,6068,32,ALLOW
2026-02-12T17:57:14Z,10.21.8.44,52.96.44.2,63256,53,TCP,3474,33,ALLOW
2026-02-12T17:57:31Z,10.21.8.44,13.107.6.152,50276,53,TCP,6988,12,ALLOW
2026-02-12T17:57:48Z,10.24.77.41,52.96.44.2,61072,22,TCP,7473,10,ALLOW
2026-02-12T17:58:05Z,10.24.77.88,140.82.114.5,50511,443,TCP,558,7,ALLOW
2026-02-12T17:58:22Z,10.24.77.88,140.82.114.5,40891,22,TCP,3440,3,ALLOW
2026-02-12T17:58:39Z,10.21.8.44,52.96.44.2,57989,123,TCP,7472,33,ALLOW
2026-02-12T17:58:56Z,10.24.77.88,13.107.6.152,43666,53,TCP,7629,19,ALLOW
2026-02-12T17:59:13Z,10.20.44.22,140.82.114.5,50932,80,TCP,1286,8,ALLOW
2026-02-12T17:59:30Z,10.21.8.44,13.107.6.152,40316,22,TCP,1808,25,ALLOW
2026-02-12T17:59:47Z,10.20.11.22,52.96.44.2,50473,443,TCP,5664,32,ALLOW
2026-02-12T18:00:04Z,10.20.44.22,13.107.6.152,57626,53,TCP,3985,5,ALLOW
2026-02-12T18:00:21Z,10.24.77.88,13.107.6.152,45377,22,TCP,8276,5,ALLOW
2026-02-12T18:00:38Z,10.20.11.22,23.54.12.2,62113,80,TCP,2000,31,ALLOW
2026-02-12T18:00:55Z,10.20.44.22,140.82.114.5,40965,22,TCP,350,33,ALLOW
2026-02-12T18:01:12Z,10.20.11.22,13.107.6.152,52070,53,TCP,8050,21,ALLOW
2026-02-12T18:01:29Z,10.20.11.22,23.54.12.2,59675,443,TCP,8169,28,ALLOW
2026-02-12T18:01:46Z,10.24.77.88,52.96.44.2,44555,53,TCP,3471,10,ALLOW
2026-02-12T18:02:03Z,10.20.44.22,140.82.114.5,58688,443,TCP,4313,19,ALLOW
2026-02-12T18:02:20Z,10.24.77.19,10.20.9.11,53392,22,TCP,7812,94,ALLOW
2026-02-12T18:02:37Z,10.24.77.19,10.20.9.11,59555,445,TCP,78352632,62011,ALLOW
2026-02-12T18:02:54Z,10.24.77.41,52.96.44.2,48527,53,TCP,3738,19,ALLOW
2026-02-12T18:03:11Z,10.20.11.22,140.82.114.5,53377,53,TCP,3866,38,ALLOW
2026-02-12T18:03:28Z,10.21.8.44,23.54.12.2,63868,22,TCP,1025,4,ALLOW
2026-02-12T18:03:45Z,10.20.11.22,140.82.114.5,47704,123,TCP,2586,34,ALLOW
2026-02-12T18:04:02Z,10.20.44.22,10.20.0.53,61004,53,TCP,1047,12,ALLOW
2026-02-12T18:04:19Z,10.24.77.41,140.82.114.5,64044,443,TCP,1716,40,ALLOW
2026-02-12T18:04:36Z,10.24.77.88,23.54.12.2,43125,443,TCP,5179,35,ALLOW
2026-02-12T18:04:53Z,10.20.11.22,10.20.0.53,56984,80,TCP,1451,29,ALLOW
2026-02-12T18:05:10Z,10.24.77.88,52.96.44.2,56720,123,TCP,3106,21,ALLOW
2026-02-12T18:05:27Z,10.24.77.88,140.82.114.5,40361,123,TCP,5626,10,ALLOW
2026-02-12T18:05:44Z,10.20.11.22,13.107.6.152,55394,443,TCP,4519,14,ALLOW
2026-02-12T18:06:01Z,10.24.77.41,13.107.6.152,51704,123,TCP,1596,8,ALLOW
2026-02-12T18:06:18Z,10.24.77.41,13.107.6.152,51738,443,TCP,8531,30,ALLOW
2026-02-12T18:06:35Z,10.20.11.22,13.107.6.152,59803,443,TCP,2982,24,ALLOW
2026-02-12T18:06:52Z,10.21.8.44,140.82.114.5,52814,443,TCP,1791,15,ALLOW
2026-02-12T18:07:09Z,10.20.44.22,52.96.44.2,46668,22,TCP,3281,18,ALLOW
2026-02-12T18:07:26Z,10.24.77.88,140.82.114.5,50545,22,TCP,269,16,ALLOW
2026-02-12T18:07:43Z,10.24.77.88,10.20.0.53,40183,53,TCP,8940,15,ALLOW
2026-02-12T18:08:00Z,10.20.11.22,52.96.44.2,59439,80,TCP,6839,39,ALLOW
2026-02-12T18:08:17Z,10.21.8.44,52.96.44.2,46674,53,TCP,407,28,ALLOW
2026-02-12T18:08:34Z,10.24.77.88,140.82.114.5,53628,22,TCP,6561,31,ALLOW
2026-02-12T18:08:51Z,10.21.8.44,140.82.114.5,48275,443,TCP,473,6,ALLOW
2026-02-12T18:09:08Z,10.20.11.22,13.107.6.152,51996,53,TCP,1534,6,ALLOW
2026-02-12T18:09:25Z,10.24.77.41,13.107.6.152,59958,80,TCP,542,37,ALLOW
2026-02-12T18:09:42Z,10.24.77.88,140.82.114.5,42069,123,TCP,6603,11,ALLOW
2026-02-12T18:09:59Z,10.20.11.22,10.20.0.53,56269,80,TCP,6898,36,ALLOW
2026-02-12T18:10:16Z,10.21.8.44,13.107.6.152,59234,22,TCP,5767,3,ALLOW
2026-02-12T18:10:33Z,10.21.8.44,52.96.44.2,50779,53,TCP,620,6,ALLOW
2026-02-12T18:10:50Z,10.24.77.88,23.54.12.2,42808,123,TCP,2375,17,ALLOW
2026-02-12T18:11:07Z,10.24.77.41,52.96.44.2,48389,80,TCP,8559,17,ALLOW
2026-02-12T18:11:24Z,10.24.77.41,13.107.6.152,54576,80,TCP,2368,27,ALLOW
2026-02-12T18:11:41Z,10.24.77.88,13.107.6.152,64286,123,TCP,7633,9,ALLOW
2026-02-12T18:11:58Z,10.21.8.44,52.96.44.2,60755,123,TCP,7337,16,ALLOW
2026-02-12T18:12:15Z,10.20.11.22,13.107.6.152,55669,80,TCP,7306,40,ALLOW
2026-02-12T18:12:32Z,10.24.77.88,10.20.0.53,54909,22,TCP,3175,16,ALLOW
2026-02-12T18:12:49Z,10.24.77.41,52.96.44.2,53438,22,TCP,5314,17,ALLOW
2026-02-12T18:13:06Z,10.20.44.22,52.96.44.2,58754,123,TCP,3066,27,ALLOW
2026-02-12T18:13:23Z,10.24.77.88,52.96.44.2,46702,123,TCP,5988,10,ALLOW
2026-02-12T18:13:40Z,10.20.9.11,185.212.44.9,41144,443,TCP,78344321,58412,ALLOW
2026-02-12T18:13:57Z,10.20.11.22,13.107.6.152,40410,80,TCP,7675,38,ALLOW
2026-02-12T18:14:14Z,10.24.77.88,52.96.44.2,40572,53,TCP,297,19,ALLOW
2026-02-12T18:14:31Z,10.20.44.22,10.20.0.53,40470,22,TCP,6921,5,ALLOW
2026-02-12T18:14:48Z,10.24.77.88,23.54.12.2,62652,22,TCP,5145,12,ALLOW
2026-02-12T18:15:05Z,10.24.77.41,52.96.44.2,60356,22,TCP,818,30,ALLOW
2026-02-12T18:15:22Z,10.20.11.22,23.54.12.2,50475,443,TCP,4116,30,ALLOW
2026-02-12T18:15:39Z,10.20.44.22,10.20.0.53,40158,53,TCP,329,17,ALLOW
2026-02-12T18:15:56Z,10.24.77.88,52.96.44.2,64470,123,TCP,2084,21,ALLOW
2026-02-12T18:16:13Z,10.20.11.22,52.96.44.2,56869,80,TCP,625,30,ALLOW
2026-02-12T18:16:30Z,10.24.77.41,140.82.114.5,48042,123,TCP,3609,33,ALLOW
2026-02-12T18:16:47Z,10.21.8.44,140.82.114.5,51035,22,TCP,3182,29,ALLOW
2026-02-12T18:17:04Z,10.20.44.22,13.107.6.152,50775,53,TCP,1145,37,ALLOW
